txnid,amount,tax
TXN20251121000000,857.53,152.52
TXN20251121000001,3748.97,297.3
TXN20251121000002,8129.87,1394.76
TXN20251121000003,9860.15,1385.75
TXN20251121000004,3768.83,125.73
TXN20251121000005,7773.7,850.01
TXN20251121000006,4247.98,700.99
TXN20251121000007,1120.86,110.76
TXN20251121000008,123.42,11.72
TXN20251121000009,572.47,22.33
TXN20251121000010,1184.09,146.68
TXN20251121000011,7462.99,845.85
TXN20251121000012,9622.1,769.57
TXN20251121000013,2864.26,455.35
TXN20251121000014,2243.72,390.67
TXN20251121000015,131.42,23.02
TXN20251121000016,441.17,71.73
TXN20251121000017,5281.73,944.77
TXN20251121000018,747.23,81.16
TXN20251121000019,9693.33,1005.16
TXN20251121000020,6297.69,827.01
TXN20251121000021,4550.87,547.97
TXN20251121000022,5847.3,960.04
TXN20251121000023,464.01,30.14
TXN20251121000024,9504.61,1543.95
TXN20251121000025,4562.01,543.89
TXN20251121000026,2781.04,139.33
TXN20251121000027,4642.35,355.31
TXN20251121000028,5840.72,189.46
TXN20251121000029,9744.2,1732.46
TXN20251121000030,6984.64,738.8
TXN20251121000031,3102.18,465.97
TXN20251121000032,6850.46,315.25
TXN20251121000033,9110.16,1381.15
TXN20251121000034,9498.5,1292.89
TXN20251121000035,6138.02,533.51
TXN20251121000036,9327.96,1479.14
TXN20251121000037,461.73,11.18
TXN20251121000038,3770.87,564.46
TXN20251121000039,9872.89,435.07
TXN20251121000040,5945.37,481.23
TXN20251121000041,9699.44,1500.88
TXN20251121000042,8384.9,796.49
TXN20251121000043,4154.05,264.8
TXN20251121000044,573.19,90.77
TXN20251121000045,8130.88,1463.19
TXN20251121000046,9966.4,1085.03
TXN20251121000047,7692.18,1316.61
TXN20251121000048,8497.98,506.27
TXN20251121000049,4510.94,183.44
TXN20251121000050,9540.97,1116.18
TXN20251121000051,2294.14,292.44
TXN20251121000052,6185.1,478.15
TXN20251121000053,1144.44,145.86
TXN20251121000054,5207.87,747.7
TXN20251121000055,5206.43,814.02
TXN20251121000056,5523.55,606.21
TXN20251121000057,8767.77,741.38
TXN20251121000058,1348.81,33.19
TXN20251121000059,7553.82,900.79
TXN20251121000060,7043.76,380.89
TXN20251121000061,1372.35,30.64
TXN20251121000062,3512.37,401.77
TXN20251121000063,3928.52,353.55
TXN20251121000064,9042.55,684.71
TXN20251121000065,5144.75,747.97
TXN20251121000066,3971.46,474.72
TXN20251121000067,8625.01,1482.84
TXN20251121000068,1479.26,248.89
TXN20251121000069,4926.24,302.07
TXN20251121000070,4596.77,812.73
TXN20251121000071,4931.25,358.01
TXN20251121000072,6337.67,370.27
TXN20251121000073,767.87,31.19
TXN20251121000074,1289.18,57.12
TXN20251121000075,1396.88,171.17
TXN20251121000076,1826.98,137.58
TXN20251121000077,8968.92,859.53
TXN20251121000078,6678.9,317.72
TXN20251121000079,1930.97,51.25
TXN20251121000080,1697.66,109.63
TXN20251121000081,1778.33,60.81
TXN20251121000082,1215.15,113.89
TXN20251121000083,2071.27,162.15
TXN20251121000084,5039.14,657.42
TXN20251121000085,402.73,59.57
TXN20251121000086,6282.72,207.84
TXN20251121000087,8737.05,1462.05
TXN20251121000088,620.17,39.88
TXN20251121000089,8063.95,1126.71
TXN20251121000090,210.51,15.06
TXN20251121000091,2122.37,153.66
TXN20251121000092,1206.42,196.02
TXN20251121000093,5939.99,764.22
TXN20251121000094,7893.82,787.41
TXN20251121000095,878.33,93.05
TXN20251121000096,5872.54,817.87
TXN20251121000097,4322.28,174.68
TXN20251121000098,2844.92,222.17
TXN20251121000099,6462.71,719.46
